,时间,公司名称,股票代码,问询函类型,文件编号
0,2020-07-27,华联控股,000036,关注函,CDD00003658194.pdf
1,2020-07-24,东旭光电,000413,关注函,CDD00041358208.pdf
2,2020-07-24,*ST华讯,000687,关注函,CDD00068758207.pdf
3,2020-07-24,顺利办,000606,关注函,CDD00060658186.pdf
4,2020-07-23,海南海药,000566,关注函,CDD00056658167.pdf
5,2020-07-21,*ST华讯,000687,关注函,CDD00068758148.pdf
6,2020-07-17,智度股份,000676,年报问询函,CDD00067658113.pdf
7,2020-07-17,红 太 阳,000525,关注函,CDD00052558124.pdf
8,2020-07-17,新金路,000510,关注函,CDD00051058125.pdf
9,2020-07-17,招商蛇口,001979,许可类重组问询函,CDD00197958090.pdf
10,2020-07-10,太阳能,000591,关注函,CDD00059158003.pdf
11,2020-07-09,*ST金宇,000803,年报问询函,CDD00080357990.pdf
12,2020-07-09,双林生物,000403,许可类重组问询函,CDD00040357995.pdf
13,2020-07-08,红 太 阳,000525,年报问询函,CDD00052557894.pdf
14,2020-07-08,东旭蓝天,000040,关注函,CDD00004057985.pdf
15,2020-07-08,*ST天夏,000662,年报问询函,CDD00066257983.pdf
16,2020-07-07,中迪投资,000609,关注函,CDD00060957982.pdf
17,2020-07-06,深 赛 格,000058,关注函,CDD00005857975.pdf
18,2020-07-06,*ST长动,000835,关注函,CDD00083557953.pdf
19,2020-07-06,*ST长动,000835,年报问询函,CDD00083557951.pdf
20,2020-07-27,华联控股,000036,关注函,CDD00003658194.pdf
21,2020-07-24,东旭光电,000413,关注函,CDD00041358208.pdf
22,2020-07-24,*ST华讯,000687,关注函,CDD00068758207.pdf
23,2020-07-24,顺利办,000606,关注函,CDD00060658186.pdf
24,2020-07-23,海南海药,000566,关注函,CDD00056658167.pdf
25,2020-07-21,*ST华讯,000687,关注函,CDD00068758148.pdf
26,2020-07-17,智度股份,000676,年报问询函,CDD00067658113.pdf
27,2020-07-17,红 太 阳,000525,关注函,CDD00052558124.pdf
28,2020-07-17,新金路,000510,关注函,CDD00051058125.pdf
29,2020-07-17,招商蛇口,001979,许可类重组问询函,CDD00197958090.pdf
30,2020-07-10,太阳能,000591,关注函,CDD00059158003.pdf
